Date,Open,High,Low,Close,Adj Close,Volume
2022-08-31,39.980000,40.049999,38.595001,38.750000,38.750000,16862823
2022-09-01,38.639999,38.919998,38.439999,38.619999,38.619999,8607759
2022-09-02,38.860001,39.005001,38.290001,38.630001,38.630001,7925508
2022-09-06,38.619999,39.090000,38.060001,38.650002,38.650002,11275507
2022-09-07,39.299999,41.250000,39.299999,41.200001,41.200001,18293674
2022-09-08,41.000000,42.169998,40.980000,41.849998,41.849998,11829192
2022-09-09,41.880001,42.299999,41.505001,42.189999,42.189999,7422753
2022-09-12,41.810001,41.900002,41.249901,41.410000,41.410000,7905599
2022-09-13,40.759998,42.470001,40.470001,41.740002,41.740002,14334134
2022-09-14,41.750000,41.910000,41.250000,41.900002,41.900002,8098525
2022-09-15,41.750000,42.439999,41.500000,42.139999,42.139999,9254200
2022-09-16,41.830002,41.950001,41.250000,41.450001,41.450001,26474037
2022-09-19,41.400002,41.740002,41.209999,41.660000,41.660000,7223513
2022-09-20,41.439999,42.110001,40.930000,41.680000,41.680000,7229122
2022-09-21,41.790001,42.185001,41.270000,41.270000,41.270000,7623288
2022-09-22,41.389999,41.770000,41.250000,41.400002,41.400002,5868083
2022-09-23,41.480000,41.770000,40.845001,41.580002,41.580002,9139135
2022-09-26,41.500000,43.519901,40.660000,41.520000,41.520000,23916964
2022-09-27,41.740002,42.180000,41.279999,42.090000,42.090000,8306887
2022-09-28,42.590000,43.529999,42.380001,43.250000,43.250000,13318872
2022-09-29,43.000000,43.169998,42.389999,42.740002,42.740002,8716979
2022-09-30,42.889999,44.660000,42.744999,43.840000,43.840000,25890492
2022-10-03,43.900002,43.900002,42.230000,42.540001,42.540001,13143223
2022-10-04,42.810001,52.299999,42.549999,52.000000,52.000000,52151860
2022-10-05,50.259998,52.000000,50.200001,51.299999,51.299999,74555835
2022-10-06,50.980000,51.549999,49.290001,49.389999,49.389999,68511078
2022-10-07,49.020000,49.520000,48.139999,49.180000,49.180000,32630102
2022-10-10,49.660000,50.860001,49.500000,50.360001,50.360001,22272449
2022-10-11,50.029999,50.550201,49.809299,50.070000,50.070000,11626795
2022-10-12,50.009998,50.500000,49.810001,49.939999,49.939999,11827822
2022-10-13,49.799999,51.070000,49.520000,50.340000,50.340000,18641291
2022-10-14,50.490002,50.865002,50.299999,50.450001,50.450001,10075908
2022-10-17,50.500000,50.900002,50.200001,50.740002,50.740002,14101270
2022-10-18,51.099998,52.099998,50.849998,51.779999,51.779999,18533907
2022-10-19,51.799999,52.160000,51.259998,51.830002,51.830002,10057928
2022-10-20,52.200001,52.700001,51.599998,52.439999,52.439999,25461019
2022-10-21,50.000000,50.750000,49.549999,49.889999,49.889999,51209029
2022-10-24,50.709999,51.860001,50.520000,51.520000,51.520000,22987553
2022-10-25,52.415001,53.180000,52.200001,52.779999,52.779999,35077848
2022-10-26,52.950001,53.500000,52.770000,53.349998,53.349998,28064973
2022-10-27,53.910000,54.000000,53.700001,53.700001,53.700001,136345128
2022-10-28,null,null,null,null,null,null
2022-10-31,null,null,null,null,null,null
2022-11-01,null,null,null,null,null,null
2022-11-02,null,null,null,null,null,null
2022-11-03,null,null,null,null,null,null
2022-11-04,null,null,null,null,null,null
2022-11-07,null,null,null,null,null,null
2022-11-08,null,null,null,null,null,null
2022-11-09,null,null,null,null,null,null
2022-11-10,null,null,null,null,null,null
2022-11-11,null,null,null,null,null,null
2022-11-14,null,null,null,null,null,null
2022-11-15,null,null,null,null,null,null
2022-11-16,null,null,null,null,null,null
2022-11-17,null,null,null,null,null,null
2022-11-18,null,null,null,null,null,null
2022-11-21,null,null,null,null,null,null
2022-11-22,null,null,null,null,null,null
2022-11-23,null,null,null,null,null,null
2022-11-25,null,null,null,null,null,null
2022-11-28,null,null,null,null,null,null
2022-11-29,null,null,null,null,null,null
2022-11-30,null,null,null,null,null,null
2022-12-01,null,null,null,null,null,null
2022-12-02,null,null,null,null,null,null
2022-12-05,null,null,null,null,null,null
2022-12-06,null,null,null,null,null,null
2022-12-07,null,null,null,null,null,null
2022-12-08,null,null,null,null,null,null
2022-12-09,null,null,null,null,null,null
2022-12-12,null,null,null,null,null,null
2022-12-13,null,null,null,null,null,null
2022-12-14,null,null,null,null,null,null
2022-12-15,null,null,null,null,null,null
2022-12-16,null,null,null,null,null,null
2022-12-19,null,null,null,null,null,null
2022-12-20,null,null,null,null,null,null
2022-12-21,null,null,null,null,null,null
2022-12-22,null,null,null,null,null,null
2022-12-23,null,null,null,null,null,null
2022-12-27,null,null,null,null,null,null
2022-12-28,null,null,null,null,null,null
2022-12-29,null,null,null,null,null,null
2022-12-30,null,null,null,null,null,null
2023-01-03,null,null,null,null,null,null
2023-01-04,null,null,null,null,null,null
2023-01-05,null,null,null,null,null,null
2023-01-06,null,null,null,null,null,null
2023-01-09,null,null,null,null,null,null
2023-01-10,null,null,null,null,null,null
2023-01-11,null,null,null,null,null,null
2023-01-12,null,null,null,null,null,null
2023-01-13,null,null,null,null,null,null
2023-01-17,null,null,null,null,null,null
2023-01-18,null,null,null,null,null,null
2023-01-19,null,null,null,null,null,null
2023-01-20,null,null,null,null,null,null
2023-01-23,null,null,null,null,null,null
2023-01-24,null,null,null,null,null,null
2023-01-25,null,null,null,null,null,null
2023-01-26,null,null,null,null,null,null
